"file" "checksum" "built" "date"
"CODE_OF_CONDUCT.md" "549f00b0992a7743c2bc16ea6ce3db57" "site/built/CODE_OF_CONDUCT.md" "2025-08-29"
"LICENSE.md" "14377518ee654005a18cf28549eb30e3" "site/built/LICENSE.md" "2025-08-29"
"config.yaml" "2453e63472ef2437e62ac7bbd21a669f" "site/built/config.yaml" "2025-09-03"
"index.md" "32bc80d6f4816435cc0e01540cb2a513" "site/built/index.md" "2025-08-29"
"links.md" "fe82d0a436c46f4b07b82684ed2cceaf" "site/built/links.md" "2025-08-29"
"pull_request_template.md" "0dfe2865b93d6343ab4e9a05b87e8f31" "site/built/pull_request_template.md" "2025-08-29"
"episodes/read-cases.Rmd" "71c401174878de284f6e38b73a2b9590" "site/built/read-cases.md" "2025-08-29"
"episodes/clean-data.Rmd" "09b8dd6575a6e191dab4e827162a18c6" "site/built/clean-data.md" "2025-08-29"
"episodes/validate.Rmd" "e1ccf050d8f6db5b603b4fe451a62897" "site/built/validate.md" "2025-09-14"
"episodes/describe-cases.Rmd" "e4c7ca3925696dd48c493efd85645112" "site/built/describe-cases.md" "2025-09-03"
"instructors/instructor-notes.md" "ca3834a1b0f9e70c4702aa7a367a6bb5" "site/built/instructor-notes.md" "2025-08-29"
"learners/epikinetics-descriptive.md" "50400941620956b3366fd99d51ed465b" "site/built/epikinetics-descriptive.md" "2025-08-29"
"learners/epikinetics-statistics.md" "26868caf5a6b4a948ecb8f95c40694ab" "site/built/epikinetics-statistics.md" "2025-08-29"
"learners/reference.md" "f081702f1c557d1ce455b7d38306737b" "site/built/reference.md" "2025-08-29"
"learners/setup.md" "c76b44f9ce70cd1cb367981ffc689a9f" "site/built/setup.md" "2025-08-30"
"profiles/learner-profiles.md" "31b503c4b5bd1f0960ada730eca4a25e" "site/built/learner-profiles.md" "2025-08-29"
"renv/profiles/lesson-requirements/renv.lock" "7bfc14295e5835ca665a67ab6abb5097" "site/built/renv.lock" "2025-08-29"
